Set,Number of Rows,Number of NLM Unique IDs
Alma Adds,258,115
Full Match,85,41
Alma Updates,3081,645
Docline Different Ranges,1395,645
Alma Different Ranges,1686,645
Deleted from Alma,0,0
In Docline Only Keep,4754,2166
No Dates,0,0
