action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
DELETE,RANGE,American medical news,NLM_0226412,Electronic,,,2000,0,0001-1843 (Print),Yes,Permanently Retained,0,Years,0,No,No,Yes,10/12/18
DELETE,HOLDING,Annales de l'Institut Pasteur. Immunologie,NLM_8503043,Electronic,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annales de l'Institut Pasteur. Immunologie,NLM_8503043,Electronic,132,139,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annals of clinical and laboratory science,NLM_0410247,Electronic,,,0,0,"0091-7370 (Print), 1550-8080 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annals of clinical and laboratory science,NLM_0410247,Electronic,,,2001,0,"0091-7370 (Print), 1550-8080 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annals of nutrition & metabolism,NLM_8105511,Electronic,,,0,0,"0250-6807 (Print), 1421-9697 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,Annals of nutrition & metabolism,NLM_8105511,Electronic,,,2001,2015,"0250-6807 (Print), 1421-9697 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,HOLDING,Annual review of biochemistry,NLM_2985150R,Electronic,,,0,0,"0066-4154 (Print), 1545-4509 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of biochemistry,NLM_2985150R,Electronic,,,2006,0,"0066-4154 (Print), 1545-4509 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of biophysics and bioengineering,NLM_0332636,Electronic,,,0,0,0084-6589 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of biophysics and bioengineering,NLM_0332636,Electronic,,,1972,1984,0084-6589 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of biophysics and biomolecular structure,NLM_9211097,Electronic,,,0,0,"1056-8700 (Print), 1545-4266 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of biophysics and biomolecular structure,NLM_9211097,Electronic,,,1992,2007,"1056-8700 (Print), 1545-4266 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of biophysics and biophysical chemistry,NLM_8505748,Electronic,,,0,0,0883-9182 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of biophysics and biophysical chemistry,NLM_8505748,Electronic,,,1985,1991,0883-9182 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of cell and developmental biology,NLM_9600627,Electronic,,,0,0,"1081-0706 (Print), 1530-8995 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of cell and developmental biology,NLM_9600627,Electronic,,,2006,0,"1081-0706 (Print), 1530-8995 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of cell biology,NLM_8602195,Electronic,,,0,0,0743-4634 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of cell biology,NLM_8602195,Electronic,,,1985,1994,0743-4634 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of genetics,NLM_0117605,Electronic,,,0,0,"0066-4197 (Print), 1545-2948 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of genetics,NLM_0117605,Electronic,,,1967,0,"0066-4197 (Print), 1545-2948 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Annual review of neuroscience,NLM_7804039,Electronic,,,0,0,"0147-006X (Print), 1545-4126 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Annual review of neuroscience,NLM_7804039,Electronic,1,,0,0,"0147-006X (Print), 1545-4126 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
