Set,Number of Rows,Number of NLM Unique IDs
Alma Adds,633,306
Full Match,36,18
Alma Updates,4244,1019
Docline Different Ranges,2083,1019
Alma Different Ranges,2161,1019
Deleted from Alma,465,231
In Docline Only Keep,3650,1697
No Dates,0,0
