655 - Local Param 04,BIB 008 MARC,MMS Id,Lifecycle,Lifecycle2
 Academic dissertations. rbgenr,820222s1793####nyu#####b#####000#0#eng#d,991006814129703851,In Repository,Deleted
 Academic dissertations. rbgenr,821208s1795####pauaf###b#####000#0#eng#d,991006907729703851,In Repository,Deleted
 Academic dissertations. rbgenr,821115s1793####pau#####b#####000#0#eng#d,991006907799703851,In Repository,Deleted
 Academic dissertations. rbgenr,940621s1760####pau#####b#####000#0#lat#d,991006735829703851,In Repository,Deleted
 Academic dissertations. rbgenr,810815s1958####fr#a#####bm###000#0#fre##,991008599039703851,In Repository,Active
 Academic dissertations. rbgenr,770223s1933####iaua#####bm###000#0#eng##,991013253999703851,In Repository,Active
 Academic dissertations. rbgenr,690715s1969####azub#####bm###000#0#eng##,991003573509703851,In Repository,Active
 Academic dissertations. rbgenr,820514s1931####sw#a#####bm###000#0#eng##,991007108599703851,In Repository,Deleted
 Academic dissertations. rbgenr,860714s1983####sz#af####bm###001#0#fre##,991011891519703851,In Repository,Active
 Academic dissertations. rbgenr,760520s1939####enka#####bm###000#0#eng##,991005773349703851,In Repository,Active
 Academic dissertations. rbgenr,850903r19851983miuab###rbm###000#0#eng#d,991005192779703851,In Repository,Active
 Academic dissertations. rbgenr,750620s1962####enkfh####b####001#0#eng##,991003453449703851,In Repository,Active
 Academic dissertations. rbgenr,790219s1858####fr######cb####000#0#fre#d,991006389639703851,In Repository,Active
 Academic dissertations. rbgenr,790725s1978####sw#######bm###000#0#eng##,991009060109703851,In Repository,Active
 Academic dissertations. rbgenr,770113s1974####maua#####bm###000#0#eng#d,991005121449703851,In Repository,Active
 Academic dissertations. rbmscv,810724s1794####pau#####b#####000#0#lat#d,991006231269703851,In Repository,Deleted
 Academic dissertations. rbmscv,820520s1796####pau#####b#####000#0#eng#d,991006818469703851,In Repository,Deleted
 Academic dissertations. rbmscv,820525s1794####nyu#####b#####000#0#eng#d,991006818189703851,In Repository,Deleted
 Academic dissertations. rbmscv,820819s1798####pau#####b#####000#0#eng#d,991006823469703851,In Repository,Deleted
 Academic dissertations. rbmscv,821006s1792####pau#####b#####000#0#eng#d,991006812339703851,In Repository,Deleted
 Academic dissertations. rbmscv,850906s1771####nyu#####b#####000#0#eng#d,991006699339703851,In Repository,Deleted
 Academic dissertations. rbmscv,830606s1793####nyu#####b#####000#0#eng#d,991006845939703851,In Repository,Deleted
 Academic dissertations. rbmscv,840214s1792####pau#####b#####000#0#eng#d,991006812369703851,In Repository,Deleted
 Accordion fold format (Binding) . rbgenr,190730s2018####caua##########000#0#eng#d,991017856143003851,In Repository,Active
 Accordion fold format (Binding) 2011. rbbin,120223s2011####mnua##########000#0#eng#c,991001457679703851,In Repository,Active
 Accordion fold format (Binding) California Richmond 2013. rbgenr,130918s2013####caua##########000#0#eng#c,991017473844203851,In Repository,Active
 Accordion fold format (Binding) rbbin,160803t20142014vaua##########000#0#eng#d,991001462779703851,In Repository,Active
 Accordion fold format (Binding) rbbin,190314s2018####paua##########000#0#eng#d,991018966478803851,In Repository,Active
 Accordion fold format (Binding) rbbin,191103s2019####caua##########000#0#eng#c,991018207246903851,In Repository,Active
 Accordion fold format (Binding) rbmscv,990316t19981998iluao#########000#0#eng#d,991011238619703851,In Repository,Active
 Accordion fold format (Binding) rbmscv,190614s2018####nyu###########000#0dkor#d,991017699347803851,In Repository,Active
 Accordion fold format rbmscv,211112s2020####paua##########000#0#eng#d,991018125637903851,In Repository,Active
 Accordion fold format. rbbin,100122s2007####maua##########000#0#eng#d,991000932119703851,In Repository,Active
 Accordion fold format. rbgenr,211013t20212021nyua#####b####000#e#eng#c,991018933776703851,In Repository,Active
 Accordion fold format. rbmscv,171019s2017####be#a##########000#0#eng#d,991017300446703851,In Repository,Active
 Accordion fold format. rbmscv,181116t20182018caua##########000#0deng#d,991017731645503851,In Repository,Active
 Accordion fold format. rbmscv,170801t20172017nyua##########000#0#eng#c,991017611345903851,In Repository,Active
 Accordion fold format. rbmscv,190111t20192019caua##########000#p#eng#d,991017695941503851,In Repository,Active
 Accordion fold format. rbmscv,250203t19861986caua##########000#p#eng#d,991004091159703851,In Repository,Active
 Accordion fold format. rbmscv,231003s2023####cauab#########000#0#eng#c,991019054478303851,In Repository,Active
 Accordion fold format. rbmscv,880729t19881988nyua##########000#0#eng#d,991011462819703851,In Repository,Active
 Acrostics. rbgenr,840412q17191720maua####b#####000#0#eng#d,991007185279703851,In Repository,Deleted
 Acrostics. rbmscv,821229s1791####mau#####b#####000#0#eng#d,991006186229703851,In Repository,Deleted
 Acrostics. rbmscv,821229s1792####mau#####b#####000#0#eng#d,991006186269703851,In Repository,Deleted
 Acrostics. rbmscv,821229s1792####mau#####b#####000#0#eng#d,991006865279703851,In Repository,Deleted
 Acrostics. rbmscv,821229s1795####nhu#####b#####000#0#eng#d,991006186349703851,In Repository,Deleted
 Acrostics. rbmscv,821229s1792####riu#####b#####000#0#eng#d,991006186309703851,In Repository,Deleted
 Acting editions England London 20th century. rbgenr,720728s1954####enka##########000#d#eng##,991018934473803851,In Repository,Active
 Acting editions Massachusetts Boston 19th century. rbgenr,731129s1892####mau###########000#d#eng#d,991003406889703851,In Repository,Active
 Acting editions Massachusetts Boston 19th century. rbgenr,790212s1915####mau###########000#0#eng##,991003400989703851,In Repository,Active
 Acting editions Massachusetts Boston 19th century. rbgenr,850718s1856####mau###########000#d#eng#c,991012652209703851,In Repository,Active
 Acting editions New York (State) New York 1976. rbgenr,760625s1976####enk###########000#0#eng##,991018933777703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,960805s1874####nyu###########000#0#eng#d,991012656069703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,970725s1868####nyucf####d####000#d#eng#d,991005060349703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,790514s1958####nyu###########000#0#eng##,991012652439703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,830325s1901####nyucf#########000#0#eng##,991005058609703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,830906s185u####nyu###########000#d#eng#d,991012465029703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,920103q18571878nyu###########000#0#eng#d,991003457009703851,In Repository,Active
 Acting editions New York (State) New York 19th century. rbgenr,790525s1865####nyu###########000#d#eng#d,991001777019703851,In Repository,Active
 Acting editions. rbgenr,801106s1800####nyuae#########000#0#eng##,991001759999703851,In Repository,Active
 Acting editions. rbgenr,781202s1856####nyu###########000#0#eng##,991012656169703851,In Repository,Active
 Acting editions. rbgenr,950519s1846####nyu###########000#0#eng#d,991012643979703851,In Repository,Active
 Acting editions. rbgenr,790514s1958####nyu###########000#0#eng##,991012652439703851,In Repository,Active
 Acting editions. rbgenr,960529s1850####nyu###########000#0#eng#d,991003456699703851,In Repository,Active
 Acting editions. rbgenr,790405s185u####nyu###########000#d#eng#d,991012877019703851,In Repository,Active
 Acting editions. rbgenr,960306s1846####nyu###########000#0#eng#d,991012645829703851,In Repository,Active
 Acting editions. rbgenr,880701s1897####maueg#########000#0#eng#d,991003326699703851,In Repository,Active
